epoch,standard_pinn_loss,curriculum_pinn_loss
0,3.9979631900787354,2.3227269649505615
1,3.0271434783935547,0.5635233521461487
2,3.4215550422668457,0.5788946151733398
3,2.758415699005127,0.9968300461769104
4,2.2090272903442383,0.840842604637146
5,2.2722885608673096,0.6017962694168091
6,2.5022776126861572,0.4442347288131714
7,2.3590359687805176,0.36383888125419617
8,1.997987151145935,0.3703833520412445
9,1.7678377628326416,0.43789613246917725
10,1.7696681022644043,0.484483003616333
11,1.8394207954406738,0.4589667320251465
12,1.7945083379745483,0.384097158908844
13,1.6220451593399048,0.31004297733306885
14,1.443435549736023,0.26881811022758484
15,1.3704931735992432,0.2635355591773987
16,1.397045373916626,0.2797442078590393
17,1.4146586656570435,0.29950952529907227
18,1.3435819149017334,0.309280127286911
19,1.2203621864318848,0.30249130725860596
20,1.1403558254241943,0.2800406813621521
21,1.141803503036499,0.24924379587173462
22,1.1656492948532104,0.2205396592617035
23,1.1423605680465698,0.20271500945091248
24,1.0808475017547607,0.19893015921115875
25,1.03850519657135,0.20564372837543488
26,1.0403947830200195,0.21509775519371033
27,1.0575981140136719,0.21987886726856232
28,1.0547358989715576,0.21658743917942047
29,1.0307279825210571,0.20659920573234558
30,1.00919771194458,0.19426405429840088
31,1.0070940256118774,0.1841985136270523
32,1.0182175636291504,0.17907486855983734
33,1.022167444229126,0.1786261647939682
34,1.0086300373077393,0.18018871545791626
35,0.9903823733329773,0.18061064183712006
36,0.9859362840652466,0.17837971448898315
37,0.9930019378662109,0.17431950569152832
38,0.9912328720092773,0.17036789655685425
39,0.9743078351020813,0.1677776277065277
40,0.959674060344696,0.16639399528503418
41,0.9592816829681396,0.1653001606464386
42,0.9614779353141785,0.1638363003730774
43,0.9525737762451172,0.16198529303073883
44,0.938647985458374,0.1600559502840042
45,0.9328474998474121,0.15830524265766144
46,0.9339240789413452,0.1569136381149292
47,0.930946946144104,0.1560502052307129
48,0.9221022129058838,0.1556822955608368
49,0.9153802394866943,0.15539374947547913
50,0.9142675399780273,0.15466126799583435
51,0.9133362770080566,0.15334534645080566
52,0.9081343412399292,0.15175363421440125
53,0.9018127918243408,0.15026752650737762
54,0.8989547491073608,0.1490894854068756
55,0.8978928923606873,0.1482878476381302
56,0.8941165208816528,0.1478300392627716
57,0.8882521986961365,0.147499680519104
58,0.8844614028930664,0.14695516228675842
59,0.882580578327179,0.14601406455039978
60,0.8787939548492432,0.1448514759540558
61,0.8732396364212036,0.14383479952812195
62,0.869402289390564,0.14315612614154816
63,0.8669631481170654,0.14267975091934204
64,0.8628977537155151,0.14215022325515747
65,0.857875645160675,0.1414644569158554
66,0.8543992638587952,0.14070625603199005
67,0.8514752388000488,0.1400063931941986
68,0.8472329378128052,0.13942904770374298
69,0.8429017066955566,0.13893230259418488
70,0.8396964073181152,0.1383916139602661
71,0.8363183736801147,0.1377083659172058
72,0.8321073651313782,0.13692599534988403
73,0.8282303810119629,0.13619711995124817
74,0.8248828649520874,0.13561493158340454
75,0.8210873603820801,0.13512170314788818
76,0.816949725151062,0.13459782302379608
77,0.813228964805603,0.13398918509483337
78,0.8096051216125488,0.13332481682300568
79,0.805524468421936,0.13266026973724365
80,0.8014814853668213,0.13203555345535278
81,0.7977875471115112,0.13145677745342255
82,0.7938647866249084,0.1308915913105011
83,0.7897430062294006,0.13030096888542175
84,0.7859450578689575,0.12968222796916962
85,0.7821279168128967,0.1290636509656906
86,0.7780373692512512,0.12846176326274872
87,0.7741495966911316,0.12786854803562164
88,0.7703590989112854,0.12727239727973938
89,0.7663373351097107,0.12666667997837067
90,0.7624083757400513,0.12604793906211853
91,0.758597731590271,0.12542465329170227
92,0.7546190619468689,0.12481460720300674
93,0.7506645917892456,0.12422104924917221
94,0.7468204498291016,0.12362617254257202
95,0.7428778409957886,0.12301389127969742
96,0.7389324903488159,0.12238523364067078
97,0.7350856065750122,0.1217513307929039
98,0.7311847805976868,0.12112287431955338
99,0.7272771596908569,0.12050242722034454
100,0.7234642505645752,0.11988073587417603
101,0.7196193933486938,0.11924751847982407
102,0.7157788276672363,0.11860506981611252
103,0.7120214700698853,0.11796199530363083
104,0.708236813545227,0.11731919646263123
105,0.7044755816459656,0.1166713535785675
106,0.7007794380187988,0.11601565778255463
107,0.6970688104629517,0.1153530552983284
108,0.6933984756469727,0.11468666046857834
109,0.6897780299186707,0.11401884257793427
110,0.6861616373062134,0.11334756016731262
111,0.6825945377349854,0.11266857385635376
112,0.6790742874145508,0.1119813472032547
113,0.6755712032318115,0.11128810793161392
114,0.6721256971359253,0.11059004068374634
115,0.6687203049659729,0.10988748073577881
116,0.6653436422348022,0.10917975753545761
117,0.6620280742645264,0.10846476256847382
118,0.6587446928024292,0.10774180293083191
119,0.6555051803588867,0.10701204836368561
120,0.6523191928863525,0.1062762439250946
121,0.6491678953170776,0.10553400963544846
122,0.6460680365562439,0.10478456318378448
123,0.6430162191390991,0.10402730107307434
124,0.6400046348571777,0.10326291620731354
125,0.6370481848716736,0.1024923175573349
126,0.6341353058815002,0.10171464085578918
127,0.6312700510025024,0.10092853009700775
128,0.6284574270248413,0.10013408958911896
129,0.6256875991821289,0.09933202713727951
130,0.6229702830314636,0.0985228568315506
131,0.6203003525733948,0.09770616143941879
132,0.6176776885986328,0.09688118100166321
133,0.615106999874115,0.09604796767234802
134,0.6125825643539429,0.09520688652992249
135,0.6101088523864746,0.0943579375743866
136,0.6076847314834595,0.09350099414587021
137,0.6053084135055542,0.09263595938682556
138,0.6029834747314453,0.091762974858284
139,0.600705623626709,0.09088239073753357
140,0.5984777212142944,0.08999429643154144
141,0.5962982773780823,0.08909861743450165
142,0.5941663384437561,0.08819542080163956
143,0.5920835733413696,0.08728495985269547
144,0.5900471210479736,0.08636770397424698
145,0.5880584120750427,0.085443876683712
146,0.586115837097168,0.0845135897397995
147,0.5842189788818359,0.08357718586921692
148,0.5823674201965332,0.08263519406318665
