epoch,standard_pinn_loss,curriculum_pinn_loss
0,18.962982177734375,17.084375381469727
1,14.475635528564453,12.149009704589844
2,11.202985763549805,8.847475051879883
3,8.856266021728516,6.6349921226501465
4,7.1948137283325195,5.135002613067627
5,6.0236406326293945,4.1000075340271
6,5.189483642578125,3.369793653488159
7,4.575948715209961,2.841010332107544
8,4.0993428230285645,2.4470903873443604
9,3.70442271232605,2.1451704502105713
10,3.3589329719543457,1.9076932668685913
11,3.047304630279541,1.7169511318206787
12,2.7643165588378906,1.5614572763442993
13,2.5096254348754883,1.4335095882415771
14,2.283936023712158,1.3275636434555054
15,2.0870378017425537,1.2391897439956665
16,1.917316198348999,1.1644916534423828
17,1.7720515727996826,1.099879264831543
18,1.6479074954986572,1.0420929193496704
19,1.5413168668746948,0.9883729219436646
20,1.4487946033477783,0.9366672039031982
21,1.3672935962677002,0.885784387588501
22,1.2945424318313599,0.8354138731956482
23,1.2291733026504517,0.7859895825386047
24,1.170531153678894,0.7384216785430908
25,1.1182548999786377,0.6937690377235413
26,1.0718512535095215,0.6529327630996704
27,1.0304807424545288,0.6164418458938599
28,0.9930353164672852,0.5843641757965088
29,0.9584245681762695,0.5563423037528992
30,0.9258735179901123,0.5317212343215942
31,0.8950638771057129,0.5097169280052185
32,0.8660554885864258,0.48957502841949463
33,0.8390629291534424,0.4706852436065674
34,0.814225435256958,0.45263540744781494
35,0.7914999127388,0.4352114796638489
36,0.7707080841064453,0.4183598756790161
37,0.751664400100708,0.4021311104297638
38,0.73427414894104,0.38662493228912354
39,0.7185298204421997,0.3719463348388672
40,0.7044177055358887,0.3581792116165161
41,0.6918129324913025,0.34537291526794434
42,0.6804400086402893,0.33353814482688904
43,0.6699357032775879,0.3226450979709625
44,0.6599786281585693,0.31262338161468506
45,0.6504078507423401,0.30336493253707886
46,0.6412602663040161,0.2947338819503784
47,0.6327030658721924,0.28658515214920044
48,0.6249006986618042,0.2787882685661316
49,0.6178948879241943,0.2712506055831909
50,0.6115660071372986,0.2639312744140625
51,0.605692982673645,0.25684022903442383
52,0.600066065788269,0.2500225901603699
53,0.5945799350738525,0.24353250861167908
54,0.5892550945281982,0.23740631341934204
55,0.5841861367225647,0.2316438853740692
56,0.5794607400894165,0.22620555758476257
57,0.5751020908355713,0.22102291882038116
58,0.571062445640564,0.21602016687393188
59,0.5672608613967896,0.21113654971122742
60,0.5636296272277832,0.20634078979492188
61,0.5601416826248169,0.20163458585739136
62,0.5568075180053711,0.19704300165176392
63,0.553651750087738,0.1925988495349884
64,0.5506903529167175,0.1883269101381302
65,0.547920286655426,0.18423405289649963
66,0.5453217029571533,0.18030792474746704
67,0.542866587638855,0.17652368545532227
68,0.5405259728431702,0.17285385727882385
69,0.5382735729217529,0.1692778319120407
70,0.5360890030860901,0.16578683257102966
71,0.5339612364768982,0.16238364577293396
72,0.5318910479545593,0.15907837450504303
73,0.5298888087272644,0.1558825671672821
74,0.5279678106307983,0.1528041809797287
75,0.5261366963386536,0.14984486997127533
76,0.5243947505950928,0.14699986577033997
77,0.5227334499359131,0.1442597210407257
78,0.5211414098739624,0.14161309599876404
79,0.5196091532707214,0.1390489637851715
